model,family,condition,div_coeff,benchmark,n,acc,logpcc,logpcc_lo,logpcc_hi,margin,margin_lo,margin_hi
gpt2-51M-1.31B-USPTO,GPT2-51M-1.31B,uspto,0.158,arc_easy,4752,0.343013,-26.627238,-27.085563,-26.165153,0.998610,0.789345,1.203103
gpt2-51M-1.31B-USPTO,GPT2-51M-1.31B,uspto,0.158,hellaswag,20084,0.259809,-157.592017,-158.687850,-156.484496,-0.925892,-1.637967,-0.206180
gpt2-51M-1.31B-USPTO,GPT2-51M-1.31B,uspto,0.158,lambada_openai,10306,0.046187,-11.108844,-11.198152,-11.022072,nan,nan,nan
gpt2-51M-1.31B-USPTO,GPT2-51M-1.31B,uspto,0.158,winogrande,2534,0.495659,-32.726644,-33.433298,-32.032607,-0.038734,-0.103880,0.025805
gpt2-51M-1.31B-USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,0.195,arc_easy,4752,0.336700,-25.858964,-26.310821,-25.420407,1.028238,0.833968,1.223454
gpt2-51M-1.31B-USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,0.195,hellaswag,20084,0.260904,-154.878795,-155.956169,-153.816185,-0.873093,-1.587032,-0.173207
gpt2-51M-1.31B-USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,0.195,lambada_openai,10306,0.048515,-10.779970,-10.861412,-10.697122,nan,nan,nan
gpt2-51M-1.31B-USPTOAndPubMedAbs,GPT2-51M-1.31B,mix,0.195,winogrande,2534,0.494870,-31.672551,-32.336650,-31.005339,-0.019850,-0.092011,0.054232
gpt2-51M-557M-PubMedAbs,GPT2-51M-557M,pubmed,0.168,arc_easy,4752,0.333754,-26.053535,-26.512487,-25.594014,1.087907,0.891738,1.282793
gpt2-51M-557M-PubMedAbs,GPT2-51M-557M,pubmed,0.168,hellaswag,20084,0.264290,-165.910708,-167.021993,-164.780076,-0.626506,-1.374395,0.112003
gpt2-51M-557M-PubMedAbs,GPT2-51M-557M,pubmed,0.168,lambada_openai,10306,0.017660,-11.690300,-11.777827,-11.605747,nan,nan,nan
gpt2-51M-557M-PubMedAbs,GPT2-51M-557M,pubmed,0.168,winogrande,2534,0.501184,-31.341323,-32.006924,-30.683608,-0.003899,-0.066484,0.058475
gpt2-51M-557M-USPTO,GPT2-51M-557M,uspto,0.158,arc_easy,4752,0.344276,-25.962672,-26.419712,-25.519359,1.127734,0.926358,1.331903
gpt2-51M-557M-USPTO,GPT2-51M-557M,uspto,0.158,hellaswag,20084,0.260805,-152.207446,-153.257659,-151.131538,-0.978440,-1.691138,-0.259497
gpt2-51M-557M-USPTO,GPT2-51M-557M,uspto,0.158,lambada_openai,10306,0.052203,-11.264615,-11.359615,-11.165304,nan,nan,nan
gpt2-51M-557M-USPTO,GPT2-51M-557M,uspto,0.158,winogrande,2534,0.490134,-32.218418,-32.919184,-31.530600,0.000756,-0.068478,0.067667
gpt2-51M-557M-USPTOAndPubMedAbs,GPT2-51M-557M,mix,0.195,arc_easy,2376,0.347643,-25.839716,-26.464199,-25.224005,1.089336,0.818230,1.354402
